"start","end","latitude","longitude","type","rfmos.0","rfmos.1","rfmos.2","rfmos.3","eezs.0","vessel.name","vessel.flag","vessel.ssvid","loitering.totalTimeHours","loitering.totalDistanceKilometers","loitering.medianSpeedKnots","eezs.1"
"2021-04-12T12:14:17.000Z","2021-04-12T15:38:16.000Z",4.07517,0.5337025,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","GREEN BODO","BHS","311009500","3.4","5.591","0.888",
"2021-04-12T14:59:05.000Z","2021-04-12T16:40:45.000Z",4.17507333335,-0.2911675,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","GREEN HONDURAS","BHS","311289000","1.694","3.525","1.123",
"2021-04-12T15:56:36.000Z","2021-04-13T07:59:20.000Z",4.13254333335,0.4362708333,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","GREEN BODO","BHS","311009500","16.046","24.587","0.827",
"2021-04-12T17:08:56.000Z","2021-04-12T21:59:42.000Z",4.23078166665,-0.31065166665,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","GREEN HONDURAS","BHS","311289000","4.846","9.59","1.069",
"2021-04-13T00:17:46.000Z","2021-04-13T15:58:12.000Z",4.0997541667,-0.3127025,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","GREEN HONDURAS","BHS","311289000","15.674","27.11","0.934",
"2021-04-13T14:59:43.000Z","2021-04-14T19:00:03.000Z",3.94969583335,1.1077241667,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","GREEN BODO","BHS","311009500","28.006","36.98","0.713",
"2021-04-16T02:58:28.000Z","2021-04-16T04:41:54.000Z",4.303545,0.352785,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","SUNNY LISA","CMR","613003558","1.724","3.557","1.114",
"2021-04-16T05:37:47.000Z","2021-04-16T06:56:12.000Z",4.33084,0.3715908333,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","SUNNY LISA","CMR","613003558","1.307","4.713","1.947",
"2021-04-16T07:39:07.000Z","2021-04-16T13:52:11.000Z",4.236575,0.30388416665,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","SUNNY LISA","CMR","613003558","6.218","19.571","1.7",
"2021-04-18T18:47:22.000Z","2021-04-19T21:59:12.000Z",1.62826333335,-2.88144166665,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","FRIO GALICIA","PAN","374996000","27.197","53.67","1.066",
"2021-04-22T12:58:18.000Z","2021-04-22T13:59:19.000Z",4.745675,-0.7811,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","STAR LEADER","SGP","566042000","1.017","2.271","1.206",
"2021-05-02T07:59:03.000Z","2021-05-02T12:47:47.000Z",4.26029416665,-0.92205333335,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","SILVER ICE","MDA","214182733","4.812","13.306","1.493",
"2021-05-02T09:54:24.000Z","2021-05-03T10:59:57.000Z",3.0083333333,-0.2571666667,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","WATER PHOENIX","BES","306139000","25.093","40.895","0.88",
"2021-05-03T12:58:30.000Z","2021-05-03T17:59:01.000Z",2.90666666665,-0.15383333335,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","WATER PHOENIX","BES","306139000","5.009","11.582","1.249",
