start,end,latitude,longitude,type,rfmos.0,rfmos.1,rfmos.2,rfmos.3,eezs.0,vessel.name,vessel.flag,vessel.ssvid,loitering.totalTimeHours,loitering.totalDistanceKilometers,loitering.medianSpeedKnots,eezs.1
2017-07-29T05:59:52.000Z,2017-07-29T18:50:39.000Z,3.122243333,1.06241,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,SIERRA QUEEN,LBR,636017004,12.846,26.332,1.107,
2017-07-29T21:20:10.000Z,2017-07-30T15:53:54.000Z,3.028326667,1.132826667,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,SIERRA QUEEN,LBR,636017004,18.562,36.945,1.075,
2017-07-29T22:49:01.000Z,2017-07-30T22:38:40.000Z,3.246786667,0.313106667,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,ZEFYROS REEFER,PAN,373451000,23.828,70.766,1.604,
2017-07-30T17:51:03.000Z,2017-07-31T15:54:03.000Z,3.006583333,1.346916667,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,SIERRA QUEEN,LBR,636017004,22.05,45.033,1.103,
2017-08-02T15:43:59.000Z,2017-08-02T20:04:35.000Z,4.79063,0.675745,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,GREEN GLACIER,LBR,636016700,4.343,9.344,1.162,
2017-08-04T13:59:38.000Z,2017-08-04T19:07:34.000Z,4.9107275,-0.2763775,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,M/V VOLTA VICTORY,GHA,627084000,5.132,4.735,0.498,
2017-08-04T18:47:29.000Z,2017-08-05T02:54:22.000Z,4.225508333,-2.061025,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,BASKUNCHAKSKIY,RUS,273435310,8.115,25.524,1.698,
2017-08-05T17:51:05.000Z,2017-08-05T18:51:48.000Z,3.862088333,-2.047165833,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,VOLTA GLORY,GHA,627047000,1.012,3.692,1.97,
2017-08-06T12:19:43.000Z,2017-08-06T23:59:12.000Z,4.095223333,1.695306667,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,ZEFYROS REEFER,PAN,373451000,11.658,31.302,1.45,
2017-08-12T07:45:15.000Z,2017-08-12T13:56:02.000Z,1.983433333,-2.613983333,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,BASKUNCHAKSKIY,RUS,273435310,6.18,9.263,0.809,
